month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
October,10-25,1,Tabitha (Dorcas) of Joppa,Biblical disciple,1st century,Biblical / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF and biblical works-of-mercy witness; excellent lay discipleship candidate.,none,Pending,,
October,10-25,2,The Forty Martyrs of England and Wales,Martyrs,16th-17th century,Roman Catholic / Anglican-context contested,Oxford Dictionary of Saints,Great Church reference,Review,Serious martyrial witness but Reformation-conflict and group complexity require careful Anglican handling.,Reformation conflict; group entry; Greater Church remembers,Pending,,
October,10-25,3,Crispin and Crispinian,Martyrs,c. 286,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Usable,Ancient lay/worker martyrs with devotional reception; lower priority than Tabitha.,legendary material review; Greater Church remembers,Pending,,
October,10-25,4,Front of Périgueux,Bishop / missionary,traditionally early,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Weak / defer,Missionary-bishop tradition but current source evidence is thin and legendary.,legendary material review; Greater Church remembers,Pending,,
October,10-26,1,Alfred the Great,King of the West Saxons,899,Anglican / English,BCP; LFF; HWHM; GCW; FAS; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,Broad Anglican reception; prayer learning vernacular Christian formation and just rule provide a stronger holiness case than mere kingship.,ruler-saint review,Pending,,
October,10-26,2,Cedd and Eata,Bishops / monastics,664 and 686,Anglican / Northumbrian,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,Northumbrian missionary and monastic episcopal witness; good Anglican-family alternate.,source/date verification,Pending,,
October,10-26,3,Bean,Bishop,11th century?,Anglican / Scottish,Oxford Dictionary of Saints,Scottish calendar witness,Usable,Scottish episcopal/local candidate but thin in current source set.,source verification,Pending,,
October,10-27,1,Odran of Iona,Monastic martyr?,c. 563,Anglican / Irish-Scottish,AM; Oxford Dictionary of Saints,Anglican martyrology / Scottish-Irish witness,Strong candidate with review,Early Iona-associated witness on a thin Anglican day; tradition is evocative but legendary material requires care.,legendary material review; source verification,Pending,,
October,10-27,2,Frumentius,Bishop and Apostle of Ethiopia,c. 383,Oriental Orthodox / Ethiopian / Greater Church,Great Church reference candidate,Great Church supplement,Strong alternate,Major Ethiopian apostolic and episcopal witness; excellent Great Five supplement but needs source verification in project shelf.,Ethiopian/Oriental source verification; Greater Church remembers,Pending,,
October,10-27,3,Nestor of Thessalonica,Martyr,early 4th century,Eastern Orthodox / Greater Church,Great Church reference candidate,Great Church supplement,Usable,Eastern martyrial candidate but lower source support in current shelf.,source verification; Greater Church remembers,Pending,,
October,10-28,1,Saint Simon and Saint Jude,Apostles,1st century,Apostolic / Anglican-received,BCP; LFF; HWHM; FAS; SEC; AM; Oxford Dictionary of Saints,BCP / Current TEC / Broad Anglican,Strong candidate,Uncontested apostolic feast with broad Anglican and Great Church reception.,none,Pending,,
October,10-28,2,Salvius of Amiens,Bishop and martyr?,7th century,Greater Church / Western,Oxford Dictionary of Saints,Great Church reference,Weak / defer,Possible episcopal/martyrial candidate but cannot displace apostolic feast.,defer under apostle; source verification; Greater Church remembers,Pending,,
October,10-29,1,James Hannington and his Companions,Bishop and Martyrs,1885,Anglican,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate with review,Broad Anglican source authority and martyrial missionary witness; colonial and Buganda-context honesty required.,mission/colonial context; Anglican bishop rule; martyr group,Pending,,
October,10-29,2,Colman of Kilmacduagh,Bishop / monastic,632,Anglican / Irish,Oxford Dictionary of Saints,Irish calendar witness,Usable,Irish monastic-episcopal witness; lower source priority than Hannington.,source verification,Pending,,
October,10-29,3,Merewenna,Abbess?,10th century,Anglican / Cornish?,Oxford Dictionary of Saints,English/Cornish calendar witness,Weak / defer,Local saint with thin evidence in current source set.,source verification,Pending,,
October,10-30,1,Maryam of Qidun,Monastic,4th century,Syriac / Greater Church / Anglican-received,LFF,Current TEC/LFF,Strong candidate,Current LFF and strong penitential monastic witness from the Syriac tradition; valuable Great Five resonance.,Greater Church remembers; Syriac source verification,Pending,,
October,10-30,2,John Wyclif,Priest and Reformer,1384,Anglican / Reformation forerunner,HWHM; FAS; GCW,TEC secondary / Provincial Anglican,Review,English priest and Scripture/Church reform witness; Protestant-reformer and polemical legacy require careful handling.,Protestant-reformer caution; hagiographic-honesty review,Pending,,
October,10-30,3,Jan Hus,Reformer and Martyr,1415,Bohemian reformer / Anglican-received,FAS; earlier July candidate,Provincial Anglican / date variant,Review,Martyrial reform witness but non-Anglican Protestant-reformer caution and date duplication require review.,Protestant-reformer caution; date harmonization with July 6,Pending,,
October,10-30,4,Clare of Montefalco,Abbess and mystic,1308,Roman Catholic / Greater Church,Oxford Dictionary of Saints; AM date variant,Great Church reference,Strong alternate,Strong Augustinian monastic/mystical witness; lower source priority than current LFF Maryam.,Greater Church remembers; date harmonization with August 17,Pending,,
October,10-30,5,Alphonsus Rodriguez,Jesuit lay brother,1617,Roman Catholic / Greater Church,Oxford Dictionary of Saints,Great Church reference,Usable,Humility and lay religious service witness; good Great Church supplement.,Greater Church remembers; source verification,Pending,,
October,10-31,1,Paul Shinji Sasaki and Philip Lindel Tsen,Bishops,"1946, 1954",Anglican,HWHM; GCW,TEC secondary,Strong candidate,Anglican bishops in Japan and China; automatic bishop rule supports inclusion and gives strong Asian Anglican witness.,Anglican bishop rule; modern review,Pending,,
October,10-31,2,Wolfgang of Regensburg,Bishop,994,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Reforming bishop monastic teacher and missionary to Magyars; strong Great Church candidate on a thin current-LFF day.,Greater Church remembers,Pending,,
October,10-31,3,Saints of the Reformation Era,Group commemoration,,Anglican / Reformation-era,FAS,Provincial Anglican,Review,Official Canadian Anglican group commemoration but too broad for primary use without strict source-form and holiness criteria.,group entry; Reformation-era genre review,Pending,,
October,10-31,4,Martin Luther,Reformer,1546,Lutheran / Anglican-received,AM; FAS index variant,Anglican martyrology / Provincial Anglican reference,Review / defer,Major Christian historical figure but generic Protestant-reformer rule and prior February 18 placement require caution.,Protestant-reformer caution; date harmonization with February 18,Pending,,
October,10-31,5,Foillan,Abbot and martyr,655,Anglican / Irish-Belgian,Oxford Dictionary of Saints,Great Church / Irish witness,Usable,Irish monastic and martyrial witness; good fallback if bishop pair or Reformation entries are deferred.,source verification,Pending,,
